Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-02-13,APOLLOHOSP,EQ,1295.15,1296.0,1302.0,1287.6,1296.8,1297.4,1297.64,101960,13230709425000.0,6191,54560,0.5351
2015-02-16,APOLLOHOSP,EQ,1297.4,1305.0,1321.25,1276.8,1296.05,1298.65,1301.3,174397,22694347400000.0,8187,76503,0.4387
2015-02-18,APOLLOHOSP,EQ,1298.65,1312.0,1312.0,1295.0,1306.8,1306.0,1307.0,311680,40736452900000.0,6082,256044,0.8215000000000001
2015-02-19,APOLLOHOSP,EQ,1306.0,1310.0,1317.95,1292.25,1300.0,1305.55,1304.7,45964,5996901200000.0,3900,14910,0.32439999999999997
2015-02-20,APOLLOHOSP,EQ,1305.55,1307.0,1348.9,1292.65,1338.0,1335.9,1333.19,188335,25108589745000.0,9368,85879,0.456
2015-02-23,APOLLOHOSP,EQ,1335.9,1349.95,1382.6,1349.45,1350.0,1357.4,1369.07,314114,43004473335000.0,17227,157637,0.5018
2015-02-24,APOLLOHOSP,EQ,1357.4,1357.3,1383.25,1345.0,1345.0,1352.9,1363.57,175082,23873606300000.0,13769,98163,0.5607
2015-02-25,APOLLOHOSP,EQ,1352.9,1360.0,1369.9,1308.0,1308.0,1313.15,1330.64,92279,12278978755000.0,8705,42906,0.465
2015-02-26,APOLLOHOSP,EQ,1313.15,1314.0,1328.0,1290.55,1303.0,1299.85,1304.26,220880,28808574055000.0,21092,121111,0.5483
2015-02-27,APOLLOHOSP,EQ,1299.85,1303.0,1321.8,1290.1,1300.0,1302.15,1302.92,184480,24036256585000.0,13209,124522,0.675
2015-02-28,APOLLOHOSP,EQ,1302.15,1305.25,1321.0,1294.0,1318.75,1314.2,1306.61,57980,7575721775000.0,3543,13272,0.22890000000000002
2015-03-02,APOLLOHOSP,EQ,1314.2,1313.0,1362.0,1312.0,1350.1,1348.1,1344.29,214128,28784927435000.004,13198,95164,0.44439999999999996
2015-03-03,APOLLOHOSP,EQ,1348.1,1349.55,1412.95,1349.5,1411.0,1404.3,1386.34,261983,36319661055000.0,23598,125868,0.4804
2015-03-04,APOLLOHOSP,EQ,1404.3,1420.0,1428.85,1375.2,1416.3,1417.9,1403.66,314313,44118775005000.0,26615,160455,0.5105
2015-03-05,APOLLOHOSP,EQ,1417.9,1425.0,1453.35,1387.15,1410.0,1408.5,1421.15,229156,32566520975000.0,11615,93154,0.4065
2015-03-09,APOLLOHOSP,EQ,1408.5,1408.5,1408.5,1357.0,1368.6,1363.15,1371.95,156149,21422898805000.0,18821,92928,0.5951
2015-03-10,APOLLOHOSP,EQ,1363.15,1370.25,1388.85,1342.25,1384.95,1358.05,1370.04,106063,14531023710000.0,12745,39829,0.3755
2015-03-11,APOLLOHOSP,EQ,1358.05,1363.0,1382.5,1337.5,1339.9,1347.1,1359.48,130472,17737401720000.0,8389,65079,0.4988
2015-03-12,APOLLOHOSP,EQ,1347.1,1350.0,1377.0,1324.6,1377.0,1361.35,1345.41,117807,15849897405000.002,9967,40501,0.34380000000000005
2015-03-13,APOLLOHOSP,EQ,1361.35,1366.0,1404.9,1365.45,1378.0,1382.4,1388.94,173201,24056519870000.0,10974,61913,0.3575
2015-03-16,APOLLOHOSP,EQ,1382.4,1383.9,1429.85,1362.0,1428.05,1423.25,1402.54,160844,22558983175000.0,11952,67804,0.4216
2015-03-17,APOLLOHOSP,EQ,1423.25,1431.0,1464.0,1415.0,1464.0,1451.05,1438.67,283042,40720452640000.0,26081,108516,0.3834
2015-03-18,APOLLOHOSP,EQ,1451.05,1463.8,1478.7,1435.3,1437.05,1440.85,1462.19,198184,28978352475000.0,14431,74883,0.3778
2015-03-19,APOLLOHOSP,EQ,1440.85,1455.95,1463.0,1438.15,1447.55,1447.2,1451.3,141486,20533901195000.0,13010,74489,0.5265
2015-03-20,APOLLOHOSP,EQ,1447.2,1438.0,1447.2,1406.0,1416.0,1414.2,1416.92,391071,55411519565000.0,26128,293759,0.7512000000000001
2015-03-23,APOLLOHOSP,EQ,1414.2,1415.75,1429.1,1352.2,1357.45,1357.2,1369.58,225885,30936763239999.996,25322,131204,0.5808
2015-03-24,APOLLOHOSP,EQ,1357.2,1354.1,1370.0,1334.0,1359.0,1355.15,1352.67,175387,23724004685000.0,23083,80806,0.4607
2015-03-25,APOLLOHOSP,EQ,1355.15,1350.05,1442.0,1350.05,1423.2,1425.75,1414.5,338946,47943792910000.0,18907,89351,0.2636
2015-03-26,APOLLOHOSP,EQ,1425.75,1421.0,1426.1,1378.0,1385.0,1387.2,1394.94,414179,57775540950000.0,12760,248507,0.6
2015-03-27,APOLLOHOSP,EQ,1387.2,1387.2,1394.55,1317.5,1354.4,1353.95,1350.01,172279,23257853925000.0,25832,84688,0.4916
2015-03-30,APOLLOHOSP,EQ,1353.95,1370.0,1398.1,1333.05,1341.15,1340.55,1358.35,197216,26788827990000.0,16010,115311,0.5847
2015-03-31,APOLLOHOSP,EQ,1340.55,1338.0,1379.85,1333.0,1360.5,1369.2,1367.62,188491,25778481700000.0,25889,92714,0.4919
2015-04-01,APOLLOHOSP,EQ,1369.2,1351.0,1393.85,1351.0,1392.0,1390.0,1380.85,132827,18341448420000.0,14864,67302,0.5067
2015-04-06,APOLLOHOSP,EQ,1390.0,1394.9,1429.8,1380.0,1409.95,1411.15,1412.12,231232,32652765285000.004,13456,120732,0.5221
2015-04-07,APOLLOHOSP,EQ,1411.15,1415.0,1424.95,1390.0,1400.95,1401.6,1405.01,149342,20982773505000.0,14400,95064,0.6365999999999999
2015-04-08,APOLLOHOSP,EQ,1401.6,1403.0,1422.0,1376.0,1381.0,1381.95,1393.79,305178,42535501435000.0,32941,198925,0.6518
2015-04-09,APOLLOHOSP,EQ,1381.95,1382.0,1393.0,1356.5,1369.0,1369.6,1369.35,199931,27377633950000.0,16235,115183,0.5761000000000001
2015-04-10,APOLLOHOSP,EQ,1369.6,1369.5,1403.5,1365.0,1388.0,1395.7,1386.06,180183,24974486655000.0,14445,101773,0.5648
2015-04-13,APOLLOHOSP,EQ,1395.7,1400.0,1412.4,1384.2,1399.0,1399.65,1402.29,178785,25070929095000.0,13829,104351,0.5837
2015-04-15,APOLLOHOSP,EQ,1399.65,1406.7,1409.0,1378.05,1388.2,1387.55,1393.88,110697,15429870140000.0,14447,67808,0.6126
2015-04-16,APOLLOHOSP,EQ,1387.55,1392.0,1405.0,1356.6,1376.6,1377.15,1386.94,192463,26693425210000.0,14967,84016,0.4365
2015-04-17,APOLLOHOSP,EQ,1377.15,1379.9,1379.9,1305.0,1310.9,1318.3,1337.25,282557,37785035770000.0,16193,210831,0.7462000000000001
2015-04-20,APOLLOHOSP,EQ,1318.3,1316.0,1321.15,1266.65,1288.9,1279.75,1294.96,170718,22107297905000.0,15650,71381,0.4181
2015-04-21,APOLLOHOSP,EQ,1279.75,1286.9,1291.0,1220.15,1223.45,1223.45,1251.95,259560,32495640770000.0,44481,155904,0.6006
2015-04-22,APOLLOHOSP,EQ,1223.45,1223.0,1281.8,1215.1,1261.0,1262.85,1246.77,471038,58727486895000.01,52699,309565,0.6572
2015-04-23,APOLLOHOSP,EQ,1262.85,1266.0,1307.5,1266.0,1297.0,1297.6,1292.54,518336,66997158225000.0,35012,338489,0.653
2015-04-24,APOLLOHOSP,EQ,1297.6,1305.0,1308.6,1275.0,1293.0,1295.35,1294.99,370654,47999229275000.0,44876,260299,0.7023
2015-04-27,APOLLOHOSP,EQ,1295.35,1290.0,1294.8,1147.3,1163.2,1177.3,1222.78,450290,55060646370000.01,50577,279801,0.6214000000000001
2015-04-28,APOLLOHOSP,EQ,1177.3,1175.0,1190.45,1148.0,1166.0,1167.5,1171.88,476845,55880548345000.01,47272,321391,0.674
2015-04-29,APOLLOHOSP,EQ,1167.5,1165.0,1181.85,1155.5,1161.0,1165.0,1166.8,372241,43432935155000.0,20349,260435,0.6996
2015-04-30,APOLLOHOSP,EQ,1165.0,1165.0,1174.9,1130.0,1146.0,1137.15,1148.56,548858,63039823825000.0,28020,347553,0.6332
2015-05-04,APOLLOHOSP,EQ,1137.15,1143.0,1210.0,1143.0,1208.0,1201.6,1185.63,224235,26586029255000.0,16361,85138,0.3797
2015-05-05,APOLLOHOSP,EQ,1201.6,1207.9,1215.0,1183.0,1207.65,1200.75,1195.42,80767,9655032685000.0,5739,20749,0.2569
2015-05-06,APOLLOHOSP,EQ,1200.75,1202.0,1227.6,1152.0,1183.5,1174.05,1179.59,175887,20747415555000.0,11395,68531,0.3896
2015-05-07,APOLLOHOSP,EQ,1174.05,1180.0,1189.8,1146.45,1167.5,1169.05,1169.34,201421,23553006415000.0,18002,108161,0.537
2015-05-08,APOLLOHOSP,EQ,1169.05,1179.0,1193.85,1171.8,1187.2,1185.95,1183.39,80236,9495087270000.0,7548,33353,0.4157
2015-05-11,APOLLOHOSP,EQ,1185.95,1186.1,1286.9,1185.0,1250.0,1250.6,1249.51,438636,54807990015000.0,30733,200417,0.4569
2015-05-12,APOLLOHOSP,EQ,1250.6,1248.2,1249.0,1218.7,1241.05,1238.95,1235.09,129070,15941247144999.998,11996,58530,0.4535
2015-05-13,APOLLOHOSP,EQ,1238.95,1243.7,1269.8,1214.65,1242.0,1235.6,1238.31,446265,55261650995000.01,24578,214468,0.4806
