Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-08,CUMMINSIND,EQ,871.95,879.8,898.0,873.65,887.9,887.85,892.78,237076,21165559880000.0,9206,189136,0.7978000000000001
2015-04-09,CUMMINSIND,EQ,887.85,894.0,894.0,870.1,873.5,873.0,876.18,156979,13754230769999.998,9961,130372,0.8305
2015-04-10,CUMMINSIND,EQ,873.0,881.95,888.0,870.0,878.05,879.7,874.61,178435,15606044160000.0,10495,136643,0.7658
2015-04-13,CUMMINSIND,EQ,879.7,885.0,887.25,873.5,876.0,876.85,883.12,219328,19369370370000.0,6016,196808,0.8973000000000001
2015-04-15,CUMMINSIND,EQ,876.85,876.0,881.9,870.0,875.0,874.45,874.58,82928,7252717659999.999,5604,61996,0.7476
2015-04-16,CUMMINSIND,EQ,874.45,878.0,878.0,865.5,869.5,869.85,869.88,828157,72039654825000.0,7360,807391,0.9749
2015-04-17,CUMMINSIND,EQ,869.85,870.0,872.4,865.0,870.0,867.8,868.74,104264,9057851355000.0,9938,93522,0.897
2015-04-20,CUMMINSIND,EQ,867.8,869.0,869.0,845.0,850.0,850.25,851.97,68030,5795930535000.0,3321,49383,0.7259000000000001
2015-04-21,CUMMINSIND,EQ,850.25,855.0,864.2,833.0,853.95,853.95,847.12,98850,8373814655000.0,6368,67321,0.6809999999999999
2015-04-22,CUMMINSIND,EQ,853.95,857.95,867.0,841.0,864.0,863.85,854.61,401569,34318309114999.996,2620,387210,0.9642000000000001
2015-04-23,CUMMINSIND,EQ,863.85,866.5,882.0,863.6,881.1,875.05,870.67,577051,50241874900000.0,7535,557983,0.9670000000000001
2015-04-24,CUMMINSIND,EQ,875.05,879.0,879.0,845.2,859.0,853.85,861.1,190814,16431051390000.0,22332,148756,0.7796
2015-04-27,CUMMINSIND,EQ,853.85,855.0,869.0,840.1,866.0,865.9,863.63,44692,3859749835000.0,3350,33178,0.7424
2015-04-28,CUMMINSIND,EQ,865.9,865.9,872.3,856.0,859.0,865.7,867.9,47611,4132181900000.0,3951,36725,0.7714
2015-04-29,CUMMINSIND,EQ,865.7,861.0,869.7,850.65,863.6,860.4,859.0,153047,13146715890000.0,14364,136837,0.8941
2015-04-30,CUMMINSIND,EQ,860.4,856.0,874.6,843.5,859.0,862.1,853.21,119618,10205975695000.0,7595,90397,0.7556999999999999
2015-05-04,CUMMINSIND,EQ,862.1,866.0,869.2,850.15,854.1,856.6,857.29,89730,7692475725000.0,2547,76539,0.853
2015-05-05,CUMMINSIND,EQ,856.6,856.6,865.1,855.15,855.15,861.4,860.64,71688,6169769380000.0,4098,62928,0.8778
2015-05-06,CUMMINSIND,EQ,861.4,860.5,866.0,843.35,848.0,846.45,851.32,65463,5573027580000.0,3647,49739,0.7598
2015-05-07,CUMMINSIND,EQ,846.45,842.0,855.4,837.0,843.5,846.65,843.81,87318,7368005695000.0,5314,69561,0.7966
2015-05-08,CUMMINSIND,EQ,846.65,850.0,868.1,846.0,860.0,858.35,857.84,31634,2713699855000.0,1506,19013,0.601
2015-05-11,CUMMINSIND,EQ,858.35,858.1,866.7,852.75,855.1,857.8,861.2,31666,2727066315000.0,1958,17605,0.556
2015-05-12,CUMMINSIND,EQ,857.8,861.8,866.0,844.05,847.0,850.0,851.65,297527,25338849870000.0,8799,239863,0.8062
2015-05-13,CUMMINSIND,EQ,850.0,850.4,856.9,847.0,847.0,848.85,851.47,24958,2125099260000.0002,1229,16280,0.6523000000000001
2015-05-14,CUMMINSIND,EQ,848.85,849.1,873.9,838.15,861.05,865.25,850.49,118068,10041585000000.0,8878,37427,0.317
2015-05-15,CUMMINSIND,EQ,865.25,865.25,865.25,847.0,853.0,854.3,855.18,52990,4531615575000.0,3461,33131,0.6252000000000001
2015-05-18,CUMMINSIND,EQ,854.3,859.0,871.1,854.0,871.05,863.9,862.79,56289,4856565265000.0,3181,40283,0.7156
2015-05-19,CUMMINSIND,EQ,863.9,861.95,865.9,860.05,862.55,863.25,862.25,66266,5713755570000.0,7358,56923,0.8590000000000001
2015-05-20,CUMMINSIND,EQ,863.25,862.15,864.9,855.0,862.0,861.15,861.94,601584,51853107870000.0,4813,588819,0.9788
2015-05-21,CUMMINSIND,EQ,861.15,865.0,865.0,851.0,856.05,860.2,859.33,507318,43595439370000.0,6950,479748,0.9457
2015-05-22,CUMMINSIND,EQ,860.2,865.0,865.0,851.6,853.95,855.55,857.87,48798,4186232104999.9995,6294,32609,0.6681999999999999
2015-05-25,CUMMINSIND,EQ,855.55,855.0,856.8,844.0,845.0,845.95,849.02,42354,3595956045000.0005,2030,33747,0.7968000000000001
2015-05-26,CUMMINSIND,EQ,845.95,846.3,850.05,836.35,840.0,839.65,845.54,653453,55252065585000.0,2657,641070,0.981
2015-05-27,CUMMINSIND,EQ,839.65,844.95,854.0,837.15,844.75,848.85,849.88,384422,32671376105000.0,8662,370886,0.9648000000000001
2015-05-28,CUMMINSIND,EQ,848.85,849.7,854.9,835.0,850.0,850.25,847.7,191165,16205134844999.998,10612,159397,0.8338
2015-05-29,CUMMINSIND,EQ,850.25,853.0,935.0,853.0,912.95,918.35,904.83,571193,51682994540000.0,30445,322908,0.5653
2015-06-01,CUMMINSIND,EQ,918.35,908.8,932.2,893.0,918.8,917.6,915.45,206170,18873915875000.0,8498,146268,0.7095
2015-06-02,CUMMINSIND,EQ,917.6,917.0,917.0,883.35,899.45,898.5,903.13,260628,23538049465000.0,10786,217176,0.8333
2015-06-03,CUMMINSIND,EQ,898.5,898.5,900.0,873.0,893.0,895.55,884.73,112443,9948221850000.0,7928,86871,0.7726000000000001
2015-06-04,CUMMINSIND,EQ,895.55,905.0,920.0,892.05,900.0,901.1,902.9,153406,13851078800000.0,21895,107493,0.7007
2015-06-05,CUMMINSIND,EQ,901.1,903.0,909.25,885.0,885.25,892.4,896.76,102595,9200262220000.0,10753,69735,0.6797
2015-06-08,CUMMINSIND,EQ,892.4,896.8,919.2,887.05,908.35,913.6,902.09,130233,11748146330000.0,14539,92172,0.7077
2015-06-09,CUMMINSIND,EQ,913.6,913.0,913.0,895.0,902.8,901.75,904.81,121791,11019816810000.0,6111,91451,0.7509
2015-06-10,CUMMINSIND,EQ,901.75,906.0,912.65,893.0,900.0,899.35,903.33,118520,10706225100000.0,11446,79270,0.6688
2015-06-11,CUMMINSIND,EQ,899.35,902.1,911.0,882.25,883.5,886.1,895.05,60298,5396999285000.0,3233,46602,0.7729
2015-06-12,CUMMINSIND,EQ,886.1,816.9,908.4,816.9,896.0,895.0,893.53,262492,23454403185000.0,8980,230092,0.8765999999999999
2015-06-15,CUMMINSIND,EQ,895.0,895.0,895.9,877.0,884.0,882.75,885.14,38277,3388042900000.0,2186,28937,0.756
2015-06-16,CUMMINSIND,EQ,882.75,877.05,888.0,866.0,873.6,876.4,875.73,45489,3983626504999.9995,3112,30488,0.6702
2015-06-17,CUMMINSIND,EQ,876.4,885.0,902.0,871.0,890.05,892.3,892.54,117970,10529247640000.0,7383,92392,0.7831999999999999
2015-06-18,CUMMINSIND,EQ,892.3,895.0,910.0,888.05,909.8,904.85,898.58,103955,9341155220000.0,16371,74107,0.7129000000000001
2015-06-19,CUMMINSIND,EQ,904.85,909.75,915.4,891.15,893.0,895.95,900.2,106315,9570527650000.0,6500,85941,0.8084
2015-06-22,CUMMINSIND,EQ,895.95,902.0,902.0,889.35,891.9,896.05,896.79,243685,21853497095000.0,6576,221834,0.9103
2015-06-23,CUMMINSIND,EQ,896.05,903.0,908.0,890.05,891.0,895.95,896.42,248899,22311909820000.0,6976,232610,0.9346
2015-06-24,CUMMINSIND,EQ,895.95,899.95,905.0,891.1,896.3,899.55,900.06,541894,48773808930000.0,8238,520959,0.9614
2015-06-25,CUMMINSIND,EQ,899.55,902.0,902.0,891.0,901.9,900.25,899.73,294884,26531713290000.0,4544,276159,0.9365000000000001
2015-06-26,CUMMINSIND,EQ,900.25,900.0,910.0,894.1,908.0,905.3,900.86,249336,22461564700000.0,9644,212497,0.8523000000000001
2015-06-29,CUMMINSIND,EQ,905.3,903.9,904.0,886.0,894.0,900.05,897.5,103948,9329381745000.0,4100,87153,0.8384
2015-06-30,CUMMINSIND,EQ,900.05,905.0,907.0,886.0,890.0,896.55,897.31,367715,32995490885000.004,5657,84219,0.22899999999999998
2015-07-01,CUMMINSIND,EQ,896.55,895.0,945.0,891.0,925.0,929.4,929.59,402351,37402068875000.0,31226,250385,0.6223
2015-07-02,CUMMINSIND,EQ,929.4,930.0,942.8,916.25,921.35,920.8,931.7,191933,17882476740000.0,8578,118138,0.6154999999999999
2015-07-03,CUMMINSIND,EQ,920.8,925.0,939.0,921.75,926.15,925.1,930.22,73181,6807469300000.0,4364,40943,0.5595
2015-07-06,CUMMINSIND,EQ,925.1,919.0,930.25,895.0,927.0,928.2,917.59,63290,5807402800000.0,2999,32226,0.5092
2015-07-07,CUMMINSIND,EQ,928.2,934.9,974.4,933.2,969.1,967.5,957.21,313249,29984351145000.0,14311,151717,0.4843
2015-07-08,CUMMINSIND,EQ,967.5,964.0,984.4,954.9,978.55,972.05,964.52,180955,17453522505000.002,7713,123080,0.6802
2015-07-09,CUMMINSIND,EQ,972.05,973.05,988.7,941.0,950.0,947.25,961.28,89553,8608521150000.0,5532,47778,0.5335
2015-07-10,CUMMINSIND,EQ,947.25,950.0,968.0,946.0,946.1,949.75,953.66,70302,6704443730000.0,4000,39797,0.5661
2015-07-13,CUMMINSIND,EQ,949.75,952.55,972.55,948.0,964.15,964.85,960.0,130925,12568819915000.0,6016,100741,0.7695000000000001
2015-07-14,CUMMINSIND,EQ,964.85,957.2,969.0,955.05,958.0,962.7,963.07,82622,7957080659999.999,3065,51198,0.6197
2015-07-15,CUMMINSIND,EQ,962.7,964.95,984.05,958.1,982.9,981.2,976.39,139316,13602688725000.0,4396,101507,0.7286
2015-07-16,CUMMINSIND,EQ,981.2,983.0,998.3,977.2,978.3,983.1,988.84,144106,14249843665000.0,8726,100425,0.6969
2015-07-17,CUMMINSIND,EQ,983.1,982.8,983.0,961.1,966.0,968.75,967.08,137139,13262505405000.0,8623,90183,0.6576000000000001
2015-07-20,CUMMINSIND,EQ,968.75,969.0,992.0,969.0,990.0,985.65,983.22,128979,12681423560000.0,10217,106146,0.823
2015-07-21,CUMMINSIND,EQ,985.65,992.0,992.0,967.2,988.0,985.85,982.16,255322,25076603405000.0,9505,213746,0.8372
2015-07-22,CUMMINSIND,EQ,985.85,985.0,1005.0,980.5,988.15,988.95,989.91,124151,12289802540000.0,7022,89460,0.7206
2015-07-23,CUMMINSIND,EQ,988.95,1000.0,1002.0,984.1,985.0,987.45,993.99,68414,6800308940000.001,5541,44676,0.653
2015-07-24,CUMMINSIND,EQ,987.45,990.0,1013.45,980.0,985.0,993.65,1001.67,136382,13660925540000.0,6127,89417,0.6556000000000001
2015-07-27,CUMMINSIND,EQ,993.65,980.0,997.0,971.0,975.1,975.1,984.22,62465,6147911220000.0,2597,42232,0.6761
2015-07-28,CUMMINSIND,EQ,975.1,983.0,983.0,950.85,952.0,954.85,957.26,181808,17403815194999.998,7593,141450,0.778
2015-07-29,CUMMINSIND,EQ,954.85,955.3,1013.5,955.3,1004.05,1005.8,987.81,214995,21237495550000.0,7553,164036,0.763
2015-07-30,CUMMINSIND,EQ,1005.8,1004.0,1013.0,988.55,995.05,998.75,997.39,262564,26187848050000.0,4480,240505,0.9159999999999999
2015-07-31,CUMMINSIND,EQ,998.75,1000.0,1007.0,985.0,998.95,998.15,997.11,263768,26300440570000.0,7826,230513,0.8739
2015-08-03,CUMMINSIND,EQ,998.15,999.0,1020.05,988.4,1019.8,1015.35,1015.51,267810,27196485445000.0,6478,224292,0.8375
2015-08-04,CUMMINSIND,EQ,1015.35,1020.0,1025.0,1011.45,1020.0,1019.7,1019.99,194625,19851615595000.0,11533,160049,0.8223
